epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2511,0.998,0.51124,0.89113,0.97403,0.94916,0.98437,0.597,1.40119,0.55691,0.98932,0.000329317,0.000329317,0.000329317
2,57.5605,0.97873,0.53168,0.88555,0.96207,0.96233,0.98581,0.67352,1.15271,0.49769,0.94901,0.000629849,0.000629849,0.000629849
3,85.9183,0.97706,0.53633,0.88738,0.96119,0.9599,0.98337,0.65198,1.18554,0.51759,0.94905,0.000897382,0.000897382,0.000897382
4,112.069,0.95251,0.52559,0.88258,0.9642,0.95787,0.98512,0.64541,1.21346,0.52198,0.9532,0.0008515,0.0008515,0.0008515
5,139.123,0.93611,0.52205,0.88385,0.97329,0.95502,0.9863,0.67612,1.12662,0.51121,0.93464,0.000802,0.000802,0.000802
6,166.813,0.92982,0.51539,0.87886,0.95898,0.96514,0.98528,0.63372,1.26469,0.53235,0.95938,0.0007525,0.0007525,0.0007525
7,195.666,0.94191,0.51941,0.88324,0.96608,0.96939,0.98493,0.64867,1.22312,0.51278,0.95198,0.000703,0.000703,0.000703
8,221.96,0.92724,0.51285,0.8795,0.97253,0.9574,0.98411,0.64935,1.22022,0.51271,0.95769,0.0006535,0.0006535,0.0006535
9,247.627,0.92177,0.50687,0.87945,0.96616,0.96293,0.98171,0.65208,1.19106,0.50531,0.94776,0.000604,0.000604,0.000604
10,282.159,0.92656,0.50699,0.87955,0.9629,0.96086,0.98152,0.64265,1.2279,0.51222,0.95497,0.0005545,0.0005545,0.0005545
11,324.895,0.87276,0.44635,0.88011,0.97061,0.95626,0.98305,0.67467,1.10668,0.48918,0.93291,0.000505,0.000505,0.000505
12,350.256,0.84327,0.42374,0.87423,0.96934,0.96705,0.9841,0.65872,1.18617,0.49176,0.9482,0.0004555,0.0004555,0.0004555
13,374.901,0.83696,0.42358,0.87732,0.96084,0.9682,0.98122,0.66893,1.14548,0.49104,0.94205,0.000406,0.000406,0.000406
14,400.569,0.83074,0.41492,0.87488,0.96104,0.96467,0.98472,0.70143,1.08454,0.46756,0.9353,0.0003565,0.0003565,0.0003565
15,427.417,0.82818,0.41091,0.87269,0.96534,0.95999,0.98536,0.70324,1.06878,0.46084,0.93067,0.000307,0.000307,0.000307
16,452.07,0.82012,0.40685,0.87828,0.97216,0.95414,0.98511,0.68445,1.12147,0.46795,0.93521,0.0002575,0.0002575,0.0002575
17,476.919,0.81196,0.405,0.87085,0.96661,0.96754,0.98519,0.68919,1.10723,0.46785,0.93472,0.000208,0.000208,0.000208
18,501.208,0.80763,0.39498,0.87242,0.96646,0.96157,0.98623,0.67249,1.1736,0.47488,0.94809,0.0001585,0.0001585,0.0001585
19,525.612,0.79611,0.39524,0.87189,0.96449,0.96556,0.98561,0.68715,1.13485,0.46603,0.94075,0.000109,0.000109,0.000109
20,549.862,0.80474,0.38753,0.86798,0.96304,0.97064,0.98564,0.68888,1.12532,0.46015,0.93778,5.95e-05,5.95e-05,5.95e-05
