epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9676,2.46598,3.57066,1.41922,0.39269,0.10307,0.28044,0.09293,1.85778,2.9602,1.13492,0.000328889,0.000328889,0.000328889
2,92.0602,1.63222,1.92946,1.05285,0.60879,0.55171,0.59138,0.34788,1.42717,1.73493,1.02299,0.000655666,0.000655666,0.000655666
3,137.922,1.57699,1.58834,1.03261,0.72807,0.66099,0.74964,0.44359,1.38345,1.27714,1.0176,0.000975844,0.000975844,0.000975844
4,181.377,1.49015,1.36579,1.01448,0.68106,0.62092,0.66796,0.26522,1.93877,1.5054,1.11968,0.0009703,0.0009703,0.0009703
5,223.799,1.44066,1.24174,1.00272,0.82919,0.7763,0.85269,0.37956,1.71821,1.1573,1.07322,0.0009604,0.0009604,0.0009604
6,268.064,1.39889,1.1659,0.98745,0.84514,0.76142,0.86911,0.54489,1.26559,1.04335,0.97795,0.0009505,0.0009505,0.0009505
7,310.099,1.30983,1.05038,0.97133,0.87118,0.81637,0.90695,0.50629,1.42776,0.95186,1.00244,0.0009406,0.0009406,0.0009406
8,360.847,1.35175,1.02098,0.96977,0.89896,0.84427,0.91955,0.50862,1.45212,0.97193,1.00958,0.0009307,0.0009307,0.0009307
9,430.939,1.29498,0.96791,0.95755,0.91859,0.83999,0.9293,0.54297,1.33224,0.83699,0.99014,0.0009208,0.0009208,0.0009208
10,478.257,1.29398,0.93609,0.9594,0.90465,0.85771,0.9328,0.55648,1.42506,0.83326,1.00554,0.0009109,0.0009109,0.0009109
11,521.896,1.23313,0.90012,0.95128,0.89794,0.85925,0.92984,0.61295,1.1685,0.79301,0.95322,0.000901,0.000901,0.000901
12,575.48,1.20491,0.8605,0.94338,0.90521,0.89306,0.94548,0.61435,1.15877,0.73233,0.95522,0.0008911,0.0008911,0.0008911
13,619.708,1.23544,0.85324,0.95029,0.92859,0.89738,0.95469,0.63612,1.11113,0.70122,0.9491,0.0008812,0.0008812,0.0008812
14,656.778,1.21201,0.81367,0.93885,0.92966,0.89418,0.95513,0.64873,1.12697,0.67461,0.94361,0.0008713,0.0008713,0.0008713
15,693.863,1.21143,0.81705,0.94284,0.91601,0.91874,0.96283,0.6353,1.15982,0.67408,0.95031,0.0008614,0.0008614,0.0008614
16,731.089,1.19222,0.79431,0.93356,0.90692,0.88973,0.93941,0.46847,1.66328,0.81857,1.04065,0.0008515,0.0008515,0.0008515
17,768.263,1.18273,0.77269,0.9349,0.94956,0.89874,0.96598,0.68186,1.04758,0.62652,0.92742,0.0008416,0.0008416,0.0008416
18,805.751,1.1574,0.75398,0.93314,0.91353,0.87,0.93588,0.45082,1.7155,0.808,1.05861,0.0008317,0.0008317,0.0008317
19,842.919,1.20896,0.76324,0.9417,0.91452,0.89812,0.95383,0.52087,1.46438,0.76258,1.00867,0.0008218,0.0008218,0.0008218
20,880.422,1.17711,0.75238,0.93052,0.9233,0.8994,0.95521,0.50786,1.53292,0.72024,1.02507,0.0008119,0.0008119,0.0008119
21,917.607,1.19392,0.73153,0.93817,0.96313,0.91448,0.97087,0.63717,1.1501,0.62782,0.9428,0.000802,0.000802,0.000802
22,954.873,1.17843,0.74215,0.93341,0.92667,0.9038,0.9497,0.48387,1.69545,0.728,1.07774,0.0007921,0.0007921,0.0007921
23,992.176,1.14277,0.7276,0.92732,0.87967,0.81508,0.85943,0.31804,2.17289,0.91285,1.20235,0.0007822,0.0007822,0.0007822
24,1029.39,1.14068,0.727,0.91731,0.94067,0.92458,0.97384,0.64821,1.13345,0.60935,0.94123,0.0007723,0.0007723,0.0007723
25,1066.82,1.13211,0.7097,0.9233,0.93909,0.92207,0.97106,0.67299,1.08902,0.61553,0.9332,0.0007624,0.0007624,0.0007624
26,1104.05,1.14379,0.6965,0.922,0.90081,0.86108,0.91053,0.34576,2.13871,0.82908,1.18444,0.0007525,0.0007525,0.0007525
27,1141.37,1.12524,0.69711,0.91899,0.94513,0.93251,0.96681,0.63711,1.16218,0.60736,0.94564,0.0007426,0.0007426,0.0007426
28,1178.62,1.11642,0.67604,0.92059,0.95502,0.93352,0.97256,0.54188,1.49115,0.67588,1.00123,0.0007327,0.0007327,0.0007327
29,1216.14,1.10492,0.66678,0.9207,0.96365,0.93461,0.97726,0.69637,1.02139,0.55085,0.92055,0.0007228,0.0007228,0.0007228
30,1253.82,1.09846,0.67865,0.91561,0.9478,0.92201,0.97354,0.61619,1.2286,0.61619,0.95991,0.0007129,0.0007129,0.0007129
31,1291.76,1.09512,0.65763,0.91449,0.95075,0.94066,0.97595,0.70164,1.02016,0.54354,0.91732,0.000703,0.000703,0.000703
32,1329,1.0983,0.65258,0.92143,0.94412,0.93647,0.97548,0.70827,0.99519,0.54074,0.9162,0.0006931,0.0006931,0.0006931
33,1366.33,1.08325,0.65244,0.91246,0.94937,0.93367,0.97914,0.67797,1.10032,0.56939,0.93201,0.0006832,0.0006832,0.0006832
34,1403.72,1.06354,0.63282,0.91177,0.9527,0.92742,0.97822,0.71791,0.97613,0.532,0.91459,0.0006733,0.0006733,0.0006733
35,1441.48,1.06407,0.62997,0.90903,0.95329,0.94624,0.97814,0.68587,1.07753,0.55155,0.92552,0.0006634,0.0006634,0.0006634
36,1478.95,1.07062,0.63694,0.91196,0.95336,0.94417,0.97805,0.70774,0.98856,0.52805,0.91028,0.0006535,0.0006535,0.0006535
37,1516.29,1.07827,0.63713,0.90453,0.95942,0.9374,0.98103,0.71888,0.96602,0.51432,0.90798,0.0006436,0.0006436,0.0006436
38,1553.5,1.05741,0.61648,0.90864,0.93673,0.94286,0.97417,0.67591,1.10114,0.54256,0.93452,0.0006337,0.0006337,0.0006337
39,1590.81,1.05448,0.61273,0.9081,0.94732,0.93619,0.97875,0.63927,1.21906,0.55711,0.95296,0.0006238,0.0006238,0.0006238
40,1628.17,1.06118,0.61744,0.9071,0.94972,0.9399,0.97932,0.70966,1.01252,0.51204,0.92174,0.0006139,0.0006139,0.0006139
41,1665.56,1.05821,0.6054,0.90299,0.96728,0.95227,0.98112,0.70934,1.00257,0.51343,0.91304,0.000604,0.000604,0.000604
42,1702.85,1.05195,0.60714,0.90716,0.96444,0.94843,0.98166,0.67851,1.09474,0.54225,0.93573,0.0005941,0.0005941,0.0005941
43,1740.1,1.04734,0.60198,0.90765,0.95629,0.93461,0.98184,0.65645,1.17097,0.53654,0.94377,0.0005842,0.0005842,0.0005842
44,1777.38,1.0622,0.60614,0.908,0.97412,0.92848,0.98232,0.69987,1.06294,0.51326,0.92299,0.0005743,0.0005743,0.0005743
45,1814.58,1.05545,0.59347,0.90455,0.96337,0.93236,0.97785,0.66934,1.133,0.53539,0.93637,0.0005644,0.0005644,0.0005644
46,1851.57,1.07404,0.6078,0.90748,0.9663,0.93113,0.97734,0.6993,1.03361,0.50938,0.92114,0.0005545,0.0005545,0.0005545
47,1888.64,1.01148,0.5757,0.89935,0.95954,0.94413,0.98066,0.62436,1.29246,0.54903,0.9737,0.0005446,0.0005446,0.0005446
